,comparison,Gene,logFC,-log10(p),hit_annotation
0,AS17 - WT,GSPATT00009444001,2.67378397860911,6.081051693456882,enriched hit
17,AS17 - WT,PTIWI10,2.28105330837827,4.920719383809443,enriched hit
346,AS17 - WT,GSPATT00001397001,1.66828869811754,1.8758348785633105,enriched hit
365,AS17 - WT,GSPATT00025378001,1.69575326031258,1.4536030727787974,enriched hit
