Glass AntiFade;Gold AntiFade
2,10274163;0,108621824
0,866111337;0,430566494
1,635409768;0,469157796
0,688290063;0,537433158
0,869053457;0,291548839
1,13770634;0,214841424
0,234182571;0,063903636
0,716760879;0,185228136
0,681293683;0,510721547
1,068450272;0,094598734
