ND7-KD;PGM-KD;PS17-KD;AS17-KD
2,10274163;0,563457263;0,091312863;0,028244343
0,866111337;0,414521329;0,036949376;0,022137677
1,635409768;1,399979577;0,005597104;0,07451953
0,688290063;1,687003012;0,066390788;0,028547655
0,869053457;0,254989723;0,016708406;0,03920399
1,13770634;1,170777377;0,015394057;0,033734277
0,234182571;0,233302969;0,009600812;0,036565182
0,716760879;1,348002139;0,03111569;0,016202887
0,681293683;0,895330321;0,074863282;0,032652467
1,068450272;0,773237433;-0,008739408;0,027395072
